lamda	 DiffPhase
2.000010 9.769234e-05 
4.000010 -2.917487e-05 
6.000010 2.568557e-06 
8.000010 -1.463780e-04 
10.000010 -1.628315e-05 
12.000010 3.335510e-05 
14.000010 3.594539e-05 
16.000010 4.063309e-05 
18.000010 -6.090493e-05 
20.000010 1.013749e-04 
22.000010 -1.352057e-04 
24.000010 7.011706e-05 
26.000010 -5.442474e-06 
28.000010 -1.216599e-05 
30.000010 2.892843e-05 
32.000010 -2.483069e-05 
34.000010 9.538656e-05 
36.000010 -1.130903e-04 
38.000010 6.906662e-05 
40.000010 -6.719818e-06 
42.000010 -6.455629e-05 
44.000010 -1.667780e-05 
46.000010 1.358353e-04 
48.000010 -4.901082e-05 
50.000010 -1.080584e-04 
52.000010 1.303917e-04 
54.000010 -9.620950e-05 
56.000010 1.155947e-04 
58.000010 -7.474300e-05 
60.000010 4.067284e-05 
62.000010 -4.083920e-05 
64.000010 6.074343e-05 
66.000010 2.432815e-05 
68.000010 -1.192321e-04 
70.000010 7.701851e-05 
72.000010 -2.819003e-05 
74.000010 -3.574265e-05 
76.000010 -2.695275e-05 
78.000010 -3.268721e-05 
80.000010 2.804712e-05 
82.000010 1.493547e-04 
84.000010 -1.272215e-05 
86.000010 -3.349033e-06 
88.000010 -1.065837e-06 
90.000010 -9.696544e-06 
92.000010 -1.073316e-04 
94.000010 -2.627899e-05 
96.000010 -1.766369e-05 
98.000010 1.749182e-04 
100.000010 -1.644551e-05 
102.000010 -2.093302e-05 
104.000010 -3.278455e-05 
106.000010 2.021869e-05 
108.000010 -1.295828e-04 
110.000010 6.331241e-05 
112.000010 7.378471e-05 
114.000010 -1.099419e-04 
116.000010 8.494140e-05 
118.000010 -1.042167e-04 
120.000010 8.740055e-05 
122.000010 8.566138e-05 
124.000010 -1.162179e-04 
126.000010 3.456369e-05 
128.000010 7.590272e-05 
130.000010 -1.253186e-05 
132.000010 -1.002917e-05 
134.000010 -9.017751e-06 
136.000010 -8.481657e-06 
138.000010 -8.199281e-06 
140.000010 -8.113810e-06 
142.000010 -8.251308e-06 
144.000010 -8.761407e-06 
146.000010 -1.028169e-05 
148.000010 -6.875516e-05 
150.000010 5.665941e-05 
152.000010 1.012810e-04 
154.000010 -7.210117e-05 
156.000010 -6.105789e-05 
158.000010 1.214802e-04 
160.000010 -5.876344e-05 
162.000010 -5.471202e-05 
164.000010 -5.962421e-05 
166.000010 1.434403e-04 
168.000010 -5.707159e-05 
170.000010 -4.463007e-05 
172.000010 1.366559e-04 
174.000010 -4.240088e-05 
176.000010 -5.256459e-05 
178.000010 -4.073115e-05 
180.000010 1.403125e-04 
182.000010 -4.042347e-05 
184.000010 -4.809101e-05 
186.000010 -4.249944e-05 
188.000010 -4.398073e-05 
190.000010 1.437703e-04 
192.000010 -3.987457e-05 
194.000010 -5.422197e-05 
196.000010 -3.862651e-05 
198.000010 1.287704e-04 
200.000010 -5.700194e-05 
202.000010 -5.801527e-05 
204.000010 9.962863e-05 
206.000010 -7.685881e-06 
208.000010 -5.526449e-06 
210.000010 -4.698289e-06 
212.000010 -4.227221e-06 
214.000010 -3.913400e-06 
216.000010 -3.685338e-06 
218.000010 -3.510309e-06 
220.000010 -3.371012e-06 
222.000010 -3.257395e-06 
224.000010 -3.163230e-06 
226.000010 -3.084492e-06 
228.000010 -3.018512e-06 
230.000010 -2.963519e-06 
232.000010 -2.918379e-06 
234.000010 -2.882442e-06 
236.000010 -2.855470e-06 
238.000010 -2.837615e-06 
240.000010 -2.829443e-06 
242.000010 -2.832024e-06 
244.000010 -2.847093e-06 
246.000010 -2.877357e-06 
248.000010 -2.927042e-06 
250.000010 -3.002941e-06 
252.000010 -3.116567e-06 
254.000010 -3.289107e-06 
256.000010 -3.564727e-06 
258.000010 -4.056274e-06 
260.000010 -5.187793e-06 
262.000010 -1.181844e-05 
264.000010 1.029987e-04 
266.000010 -2.351544e-05 
268.000010 -5.925552e-05 
270.000010 -2.013073e-05 
272.000010 1.690478e-04 
274.000010 -3.996412e-05 
276.000010 -2.456090e-05 
278.000010 -1.621545e-05 
280.000010 -2.060894e-05 
282.000010 -2.962726e-05 
284.000010 -2.357807e-05 
286.000010 -1.603781e-05 
288.000010 -1.551976e-05 
290.000010 1.710632e-04 
292.000010 -2.414965e-05 
294.000010 -2.002584e-05 
296.000010 -1.512320e-05 
298.000010 -1.396940e-05 
300.000010 -1.603972e-05 
302.000010 -1.964800e-05 
304.000010 -1.997695e-05 
306.000010 -1.634828e-05 
308.000010 -1.347962e-05 
310.000010 -1.289810e-05 
312.000010 1.767589e-04 
314.000010 -1.690959e-05 
316.000010 -1.790346e-05 
318.000010 -1.586898e-05 
320.000010 -1.324139e-05 
322.000010 -1.189619e-05 
324.000010 -1.206276e-05 
326.000010 -1.351108e-05 
328.000010 -1.541267e-05 
330.000010 -1.596857e-05 
332.000010 -1.443281e-05 
334.000010 -1.234658e-05 
336.000010 -1.104467e-05 
338.000010 1.802865e-04 
340.000010 -1.162192e-05 
342.000010 -1.311831e-05 
344.000010 -1.439136e-05 
346.000010 -1.423232e-05 
348.000010 -1.271962e-05 
350.000010 -1.106228e-05 
352.000010 -1.004481e-05 
354.000010 -9.842483e-06 
356.000010 -1.042264e-05 
358.000010 -1.162211e-05 
360.000010 -1.290592e-05 
362.000010 -1.332998e-05 
364.000010 -1.245378e-05 
366.000010 -1.095367e-05 
368.000010 -9.682504e-06 
370.000010 -9.003165e-06 
372.000010 1.821408e-04 
374.000010 -9.565857e-06 
376.000010 -1.067096e-05 
378.000010 -1.189088e-05 
380.000010 -1.246401e-05 
382.000010 -1.188485e-05 
384.000010 -1.056089e-05 
386.000010 -9.254768e-06 
388.000010 -8.386328e-06 
390.000010 -8.058394e-06 
392.000010 -8.274450e-06 
394.000010 -9.020894e-06 
396.000010 -1.019430e-05 
398.000010 -1.139910e-05 
400.000010 -1.190744e-05 
402.000010 -1.128511e-05 
404.000010 -9.957826e-06 
406.000010 -8.644515e-06 
408.000010 -7.729855e-06 
410.000010 1.838093e-04 
412.000010 -7.370401e-06 
414.000010 -7.941616e-06 
416.000010 -9.019395e-06 
418.000010 -1.043637e-05 
420.000010 -1.160284e-05 
422.000010 -1.169174e-05 
424.000010 -1.058368e-05 
426.000010 -9.035371e-06 
428.000010 -7.730357e-06 
430.000010 -6.903916e-06 
432.000010 -6.571066e-06 
434.000010 -6.727852e-06 
436.000010 -7.422312e-06 
438.000010 -8.732002e-06 
440.000010 -1.056729e-05 
442.000010 -1.221067e-05 
444.000010 -1.238574e-05 
446.000010 -1.087272e-05 
448.000010 -8.867872e-06 
450.000010 -7.289049e-06 
452.000010 1.847788e-04 
454.000010 -5.954322e-06 
456.000010 -6.131866e-06 
458.000010 -6.980757e-06 
460.000010 -8.775683e-06 
