lamdapeak	 Rpeak
4.000010 1.000000 
10.000010 1.000000 
16.000010 1.000000 
20.000010 0.871695 
24.000010 1.000000 
30.000010 1.000000 
36.000010 1.000000 
40.000010 0.999998 
46.000010 1.000000 
54.000010 1.000000 
62.000010 1.000000 
76.000010 1.000000 
84.000010 0.329663 
98.000010 1.000000 
108.000010 0.460091 
122.000010 0.367688 
138.000010 1.000000 
152.000010 0.699564 
160.000010 0.382112 
164.000010 0.316816 
168.000010 0.221319 
172.000010 0.180562 
176.000010 0.194465 
180.000010 0.249343 
184.000010 0.324705 
188.000010 0.394830 
192.000010 0.448060 
196.000010 0.512878 
200.000010 0.676712 
230.000010 1.000000 
272.000010 0.704611 
278.000010 0.537001 
288.000010 0.467273 
298.000010 0.391065 
310.000010 0.346250 
324.000010 0.316610 
338.000010 0.305665 
354.000010 0.305458 
372.000010 0.318979 
390.000010 0.342085 
412.000010 0.393967 
434.000010 0.464975 
456.000010 0.570844 
476.000010 0.711222 
494.000010 0.872223 
692.000010 1.000000 
1156.000010 0.872031 
1262.000010 0.712867 
1440.000010 0.572185 
1716.000010 0.467281 
