lamda	 Trans	 TransPhase	 Ref	 RefPhase
2.000010 9.985003e-01 -4.116021 0.001500 -94.050322 
4.000010 7.919470e-10 179.906929 1.000000 179.923354 
6.000010 3.427961e-05 124.950256 0.999966 -25.042444 
8.000010 6.409140e-01 129.788644 0.359086 174.792750 
10.000010 1.790074e-08 -145.943453 1.000000 -163.940825 
12.000010 6.757355e-01 -176.616007 0.324264 63.385818 
14.000010 9.490055e-01 -113.785045 0.050995 -100.926561 
16.000010 1.339977e-07 -46.074748 1.000000 21.426278 
18.000010 9.828912e-01 30.465767 0.017109 100.466578 
20.000010 1.283053e-01 -84.260782 0.871695 131.739875 
22.000010 2.905690e-01 106.698998 0.709431 -97.845914 
24.000010 6.561730e-09 -147.987811 1.000000 -72.987355 
26.000010 6.189534e-01 -15.908385 0.381047 -36.677227 
28.000010 9.237174e-07 -26.160368 0.999999 -154.731461 
30.000010 1.095153e-09 -49.077425 1.000000 64.922867 
32.000010 8.213147e-01 5.415027 0.178685 -5.834716 
34.000010 9.499076e-01 -41.358526 0.050092 175.700525 
36.000010 4.037183e-08 138.321042 1.000000 38.321244 
38.000010 7.558190e-01 -74.706974 0.244181 -136.285739 
40.000010 2.339314e-06 55.393738 0.999998 -151.606098 
42.000010 4.371999e-01 42.735624 0.562800 47.021487 
44.000010 9.990266e-01 -78.868986 0.000973 -46.141578 
46.000010 9.084834e-10 -110.284934 1.000000 -51.589157 
48.000010 6.068098e-01 145.587877 0.393190 -131.912009 
50.000010 7.917172e-01 53.266244 0.208283 157.666349 
52.000010 4.050606e-06 -150.283259 0.999996 154.332223 
54.000010 1.114318e-08 95.335428 1.000000 58.668851 
56.000010 9.901772e-01 -85.894301 0.009823 74.820069 
58.000010 8.132364e-01 131.851265 0.186764 -51.252105 
60.000010 5.202433e-01 -8.942036 0.479757 3.058037 
62.000010 5.697114e-09 67.673340 1.000000 -86.197559 
64.000010 1.196596e-08 -9.255422 1.000000 -149.880357 
66.000010 4.357121e-01 105.166912 0.564288 156.985154 
68.000010 9.671731e-01 150.993827 0.032827 -145.476704 
70.000010 8.270561e-01 -73.603625 0.172944 -179.032142 
72.000010 6.073813e-01 71.476060 0.392619 156.476110 
74.000010 2.503965e-04 18.374539 0.999750 113.239452 
76.000010 1.793942e-09 -48.953845 1.000000 55.256727 
78.000010 2.695047e-09 -99.724714 1.000000 13.352253 
80.000010 2.118275e-04 -161.297582 0.999788 -39.797541 
82.000010 9.913157e-01 -108.465257 0.008684 21.046978 
84.000010 6.703374e-01 172.874063 0.329663 -49.983042 
86.000010 6.941501e-01 148.909366 0.305850 -66.671994 
88.000010 6.825683e-01 142.600795 0.317432 -66.035535 
90.000010 6.229485e-01 140.593079 0.377051 -61.406888 
92.000010 4.305925e-01 122.327710 0.569407 -73.324433 
94.000010 1.061592e-03 -79.852703 0.998938 -89.427141 
96.000010 2.397868e-08 -129.354409 1.000000 -133.104381 
